Factorisations Of Cunningham/Mersenne Numbers C-(2,n) = M(n) = 2^n - 1

This file is the first 512 entries from:
http://members.iinet.net.au/~tmorrow/mathematics/cunningham/c02minus.txt
Escaped line breaks have been removed: :%s/\\\n *// and :%s/\.\n */./

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.
Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.
========================================================================================================================

   n  #Fac  Factorisation
   1     1  1
   2     1  3
   3     1  7
   4     2  3.5
   5     1  31
   6     3  3^2.7
   7     1  127
   8     3  3.5.17
   9     2  7.73
  10     3  3.11.31
  11     2  23.89
  12     5  3^2.5.7.13
  13     1  8191
  14     3  3.43.127
  15     3  7.31.151
  16     4  3.5.17.257
  17     1  131071
  18     6  3^3.7.19.73
  19     1  524287
  20     6  3.5^2.11.31.41
  21     4  7^2.127.337
  22     4  3.23.89.683
  23     2  47.178481
  24     7  3^2.5.7.13.17.241
  25     3  31.601.1801
  26     3  3.2731.8191
  27     3  7.73.262657
  28     6  3.5.29.43.113.127
  29     3  233.1103.2089
  30     7  3^2.7.11.31.151.331
  31     1  2147483647
  32     5  3.5.17.257.65537
  33     4  7.23.89.599479
  34     3  3.43691.131071
  35     4  31.71.127.122921
  36    10  3^3.5.7.13.19.37.73.109
  37     2  223.616318177
  38     3  3.174763.524287
  39     4  7.79.8191.121369
  40     8  3.5^2.11.17.31.41.61681
  41     2  13367.164511353
  42     8  3^2.7^2.43.127.337.5419
  43     3  431.9719.2099863
  44     7  3.5.23.89.397.683.2113
  45     6  7.31.73.151.631.23311
  46     4  3.47.178481.2796203
  47     3  2351.4513.13264529
  48    10  3^2.5.7.13.17.97.241.257.673
  49     2  127.4432676798593
  50     7  3.11.31.251.601.1801.4051
  51     5  7.103.2143.11119.131071
  52     7  3.5.53.157.1613.2731.8191
  53     3  6361.69431.20394401
  54     9  3^4.7.19.73.87211.262657
  55     6  23.31.89.881.3191.201961
  56     8  3.5.17.29.43.113.127.15790321
  57     4  7.32377.524287.1212847
  58     6  3.59.233.1103.2089.3033169
  59     2  179951.3203431780337
  60    13  3^2.5^2.7.11.13.31.41.61.151.331.1321
  61     1  2305843009213693951
  62     3  3.715827883.2147483647
  63     7  7^2.73.127.337.92737.649657
  64     7  3.5.17.257.641.65537.6700417
  65     3  31.8191.145295143558111
  66     9  3^2.7.23.67.89.683.20857.599479
  67     2  193707721.761838257287
  68     7  3.5.137.953.26317.43691.131071
  69     4  7.47.178481.10052678938039
  70     9  3.11.31.43.71.127.281.86171.122921
  71     3  228479.48544121.212885833
  72    14  3^3.5.7.13.17.19.37.73.109.241.433.38737
  73     3  439.2298041.9361973132609
  74     5  3.223.1777.25781083.616318177
  75     7  7.31.151.601.1801.100801.10567201
  76     7  3.5.229.457.174763.524287.525313
  77     4  23.89.127.581283643249112959
  78     8  3^2.7.79.2731.8191.121369.22366891
  79     3  2687.202029703.1113491139767
  80    10  3.5^2.11.17.31.41.257.61681.4278255361
  81     6  7.73.2593.71119.262657.97685839
  82     5  3.83.13367.164511353.8831418697
  83     2  167.57912614113275649087721
  84    14  3^2.5.7^2.13.29.43.113.127.337.1429.5419.14449
  85     3  31.131071.9520972806333758431
  86     5  3.431.9719.2099863.2932031007403
  87     6  7.233.1103.2089.4177.9857737155463
  88    10  3.5.17.23.89.353.397.683.2113.2931542417
  89     1  618970019642690137449562111
  90    13  3^3.7.11.19.31.73.151.331.631.23311.18837001
  91     5  127.911.8191.112901153.23140471537
  92     9  3.5.47.277.1013.1657.30269.178481.2796203
